cpi_de,cpi_jp,cpi_uk,cpi_us,ipi_de,ipi_jp,ipi_uk,ipi_us,ltr_de,ltr_jp,ltr_uk,ltr_us,str_de,str_jp,str_uk,str_us,time
51.8642662546,4.25,29.266774525,32.11,70.3,57.8,93.6,43.7844,5.92,6.44,10.61,7.96,3.0,4.25,6.6,6.7,1978.0
51.9249805403,4.25,29.2850126202,32.26,67.9,57.4,92.7,43.9566,5.81,6.46,10.39,8.03,3.0,4.25,6.5,6.78,1978.0833333333333
52.0298614927,3.5,29.3599650011,32.46,66.7,58.6,92.3,44.7314,5.65,6.25,11.2,8.04,3.0,3.5,6.5,6.79,1978.1666666666667
52.3008138736,3.5,29.2679650011,32.72,67.8,58.7,97.5,45.4008,5.75,6.17,11.91,8.15,3.0,3.5,7.15,6.89,1978.25
52.2977186355,3.5,29.3450483345,33.03,67.9,58.8,93.6,45.5714,5.97,6.19,12.28,8.35,3.0,3.5,8.65,7.36,1978.3333333333333
52.4717662546,3.5,29.6512626202,33.28,67.6,59.2,93.5,45.9285,6.08,6.27,12.48,8.46,3.0,3.5,9.77,7.6,1978.4166666666667
52.4770043498,3.5,30.1410840488,33.54,69.6,59.5,94.8,45.8979,6.3,6.43,12.37,8.64,3.0,3.5,10.0,7.81,1978.5
52.5405757784,3.5,30.221822144,33.74,70.1,60.1,95.4,46.1311,6.32,6.55,12.23,8.41,3.0,3.5,10.0,8.04,1978.5833333333333
52.6029812406,3.5,30.3134636006,34.05,71.2,60.7,95.4,46.3433,6.35,6.59,12.38,8.42,3.0,3.5,10.0,8.45,1978.6666666666667
52.6510204563,3.5,30.5269317378,34.36,69.9,60.8,92.6,46.6981,6.45,6.32,12.72,8.64,3.0,3.5,10.0,8.96,1978.75
52.8075155543,3.5,30.8003998751,34.56,70.5,61.2,93.0,47.1162,6.63,6.36,13.09,8.81,3.0,3.5,11.82,9.76,1978.8333333333333
53.0312900641,3.5,31.0488312476,34.77,72.7,61.8,95.5,47.4887,6.64,6.4,13.12,9.01,3.0,3.5,12.5,10.03,1978.9166666666667
53.3642662546,3.5,31.946774525,35.08,70.3,61.6,86.3,47.0857,6.73,6.74,13.55,9.1,3.0,3.5,12.5,10.07,1979.0
53.4249805403,3.5,32.0650126202,35.43,70.2,61.5,94.4,47.2932,6.98,7.01,13.99,9.1,3.0,3.5,13.63,10.06,1979.0833333333333
53.6298614927,3.5,32.2199650011,35.79,70.6,62.0,96.5,47.5073,7.1,7.69,12.08,9.12,3.03,3.5,13.0,10.09,1979.1666666666667
53.9008138736,4.25,32.2479650011,36.15,72.4,62.3,95.2,46.7743,7.25,8.42,11.39,9.18,4.0,4.25,12.16,10.01,1979.25
53.9977186355,4.25,32.4150483345,36.56,72.2,63.6,96.3,47.3433,7.79,8.49,11.75,9.25,4.0,4.25,12.0,10.24,1979.3333333333333
54.2717662546,4.25,33.0612626202,36.97,74.1,63.8,97.9,47.4173,7.99,8.68,12.56,8.91,4.0,4.25,13.24,10.29,1979.4166666666667
54.6770043498,5.25,34.8510840488,37.38,74.3,64.3,96.0,47.4605,7.87,8.41,12.34,8.95,4.6,5.25,14.0,10.47,1979.5
54.9405757784,5.25,35.001822144,37.74,72.8,65.5,91.6,46.8551,7.66,8.66,12.26,9.03,5.0,5.25,14.0,10.94,1979.5833333333333
55.3029812406,5.25,35.3234636006,38.1,73.2,64.2,91.0,46.993,7.68,8.59,12.56,9.33,5.0,5.25,14.0,11.43,1979.6666666666667
55.2510204563,5.25,35.7669317378,38.51,72.5,65.6,92.3,47.1527,7.86,8.84,13.09,10.3,5.0,5.25,14.0,13.77,1979.75
55.6075155543,6.25,36.1503998751,38.92,74.4,66.3,94.2,47.0276,8.06,9.39,14.76,10.65,6.0,6.25,15.64,13.18,1979.8333333333333
55.9312900641,6.25,36.3988312476,39.38,75.9,66.1,95.6,47.1581,7.94,9.07,15.02,10.39,6.0,6.25,17.0,13.78,1979.9166666666667
55.9642662546,6.25,37.736774525,39.94,75.1,66.7,93.6,47.3423,8.06,8.51,14.41,10.8,6.0,6.25,17.0,13.82,1980.0
56.6249805403,7.25,38.1250126202,40.45,75.1,69.0,91.5,47.3337,8.39,9.29,14.74,12.41,6.07,7.25,17.0,14.13,1980.0833333333333
56.7298614927,9.0,38.5399650011,41.02,74.3,67.3,90.0,46.9732,9.37,10.06,14.93,12.75,7.0,9.0,17.0,17.19,1980.1666666666667
57.0008138736,9.0,39.3279650011,41.43,73.4,68.4,88.4,46.0109,9.36,9.89,14.42,11.47,7.0,9.0,17.0,17.61,1980.25
57.3977186355,9.0,39.5950483345,41.83,73.2,67.9,87.4,44.6306,8.59,8.67,14.11,10.18,7.48,9.0,17.0,10.98,1980.3333333333333
57.4717662546,9.0,40.0612626202,42.24,72.7,67.3,87.2,43.9664,8.18,8.19,13.78,9.78,7.5,9.0,17.0,9.47,1980.4166666666667
57.6770043498,9.0,40.7410840488,42.3,73.0,67.2,84.8,43.547,7.95,8.47,13.08,10.25,7.5,9.0,16.09,9.03,1980.5
57.9405757784,8.25,40.721822144,42.6,73.4,65.2,83.9,43.8376,7.84,8.54,13.7,11.1,7.5,8.25,16.0,9.61,1980.5833333333333
58.0029812406,8.25,40.9434636006,42.96,70.6,66.1,82.3,44.5403,8.17,8.72,13.47,11.51,7.5,8.25,16.0,10.87,1980.6666666666667
57.9510204563,8.25,41.2769317378,43.37,70.9,66.6,80.8,45.3445,8.36,8.47,13.2,11.75,7.5,8.25,16.0,12.81,1980.75
58.4075155543,7.25,41.6803998751,43.83,72.1,65.7,80.5,46.1999,8.7,8.82,13.34,12.68,7.5,7.25,15.6,15.85,1980.8333333333333
59.0312900641,7.25,41.8888312476,44.24,71.0,66.7,79.4,46.3325,8.86,8.81,13.78,12.84,7.5,7.25,14.0,18.9,1980.9166666666667
59.2642662546,7.25,42.596774525,44.65,70.6,66.8,79.4,46.1743,8.98,8.29,13.97,12.57,7.5,7.25,14.0,19.08,1981.0
59.6249805403,7.25,42.8350126202,45.06,72.1,66.5,80.2,45.917,9.76,8.13,13.84,13.19,7.5,7.25,14.0,15.93,1981.0833333333333
60.0298614927,6.25,43.3699650011,45.37,72.0,66.7,79.6,46.0736,10.08,7.83,13.66,13.12,7.5,6.25,12.64,14.7,1981.1666666666667
60.3008138736,6.25,44.0979650011,45.62,71.3,66.7,80.3,46.3234,10.05,7.96,13.66,13.68,7.5,6.25,12.0,15.72,1981.25
60.6977186355,6.25,44.2850483345,45.93,71.7,65.7,78.8,46.5566,10.38,8.33,14.4,14.1,7.5,6.25,12.0,18.52,1981.3333333333333
60.8717662546,6.25,44.6312626202,46.34,70.7,67.4,80.6,46.3155,10.48,8.18,14.69,13.47,7.5,6.25,12.0,19.1,1981.4166666666667
61.3770043498,6.25,45.1810840488,46.85,71.4,67.9,81.0,46.3818,10.55,8.44,15.28,14.28,7.5,6.25,12.0,19.04,1981.5
61.6405757784,6.25,45.391822144,47.21,71.5,67.8,81.2,46.4448,10.54,8.79,15.23,14.94,7.5,6.25,12.14,17.82,1981.5833333333333
62.1029812406,6.25,45.6234636006,47.67,71.7,68.9,81.5,46.2144,10.59,9.22,15.81,15.32,7.5,6.25,13.4,15.87,1981.6666666666667
62.3510204563,6.25,46.1069317378,47.83,71.9,69.4,82.2,45.7791,10.26,9.07,16.34,15.15,7.5,6.25,14.7,15.08,1981.75
62.7075155543,6.25,46.6603998751,48.03,71.4,69.4,81.7,45.2392,9.92,8.09,15.72,13.39,7.5,6.25,14.73,13.31,1981.8333333333333
62.9312900641,5.5,46.9388312476,48.18,70.5,69.0,79.8,44.479,9.71,8.18,16.0,13.72,7.5,5.5,14.4,12.37,1981.9166666666667
63.1642662546,5.5,47.656774525,48.34,71.0,68.6,80.1,43.4104,9.83,8.08,15.94,14.59,7.5,5.5,14.18,13.22,1982.0
63.1249805403,5.5,47.5350126202,48.49,70.8,68.2,81.8,44.583,9.76,8.02,15.09,14.43,7.5,5.5,13.84,14.78,1982.0833333333333
63.1298614927,5.5,47.8399650011,48.49,71.5,68.9,81.0,44.2335,9.43,7.76,14.01,13.86,7.5,5.5,13.36,14.68,1982.1666666666667
63.4008138736,5.5,48.2679650011,48.65,71.2,67.8,81.2,43.9281,8.98,7.75,14.2,13.87,7.5,5.5,13.18,14.94,1982.25
63.8977186355,5.5,48.5250483345,49.11,71.3,67.3,82.1,43.8686,8.82,8.3,13.89,13.62,7.5,5.5,13.13,14.45,1982.3333333333333
64.4717662546,5.5,48.7512626202,49.67,69.5,68.2,80.0,43.796,9.15,8.71,13.75,14.3,7.5,5.5,12.74,14.15,1982.4166666666667
64.6770043498,5.5,49.1110840488,49.93,66.9,67.8,79.9,43.7505,9.26,8.56,13.35,13.95,7.5,5.5,12.2,12.59,1982.5
64.7405757784,5.5,49.011822144,50.03,68.4,68.0,80.2,43.4006,8.98,8.63,12.21,13.06,7.43,5.5,11.29,10.12,1982.5833333333333
65.1029812406,5.5,48.9534636006,50.03,68.2,68.2,80.4,43.2848,8.72,8.75,11.51,12.34,7.0,5.5,10.57,10.31,1982.6666666666667
65.3510204563,5.5,49.2669317378,50.23,67.2,66.3,79.9,42.8028,8.36,8.77,10.69,10.91,6.7,5.5,9.79,9.71,1982.75
65.5075155543,5.5,49.5703998751,50.18,66.4,68.1,79.0,42.5374,8.29,8.44,10.8,10.55,6.0,5.5,9.26,9.2,1982.8333333333333
65.7312900641,5.5,49.4688312476,50.03,66.8,67.4,79.5,42.3804,8.0,7.65,11.58,10.54,5.07,5.5,10.0,8.95,1982.9166666666667
65.7642662546,5.5,49.976774525,50.13,68.0,67.8,81.7,43.4166,7.71,7.88,11.87,10.46,5.0,5.5,10.7,8.68,1983.0
65.7249805403,5.5,50.0550126202,50.18,67.2,67.5,81.3,43.3682,7.71,7.67,11.79,10.72,5.0,5.5,11.0,8.51,1983.0833333333333
65.7298614927,5.5,50.0399650011,50.23,68.5,68.4,80.5,43.7819,7.42,7.77,11.38,10.51,4.57,5.5,10.75,8.77,1983.1666666666667
65.8008138736,5.5,50.2179650011,50.59,69.3,68.5,81.3,44.269,7.51,7.67,11.06,10.4,4.0,5.5,10.23,8.8,1983.25
66.0977186355,5.5,50.3350483345,50.8,68.8,68.6,82.2,44.8386,7.69,8.08,11.16,10.38,4.0,5.5,10.06,8.63,1983.3333333333333
66.1717662546,5.5,50.5412626202,50.9,71.5,69.5,80.9,45.1658,8.11,8.03,10.99,10.85,4.0,5.5,9.76,8.98,1983.4166666666667
66.4770043498,5.5,51.1610840488,51.1,68.2,69.1,82.8,45.8211,8.24,8.08,11.53,11.38,4.0,5.5,9.56,9.37,1983.5
66.9405757784,5.5,51.271822144,51.26,68.6,70.7,82.2,46.1679,8.37,8.1,11.72,11.85,4.0,5.5,9.56,9.56,1983.5833333333333
67.2029812406,5.5,51.4734636006,51.41,70.6,72.0,82.1,47.0217,8.48,7.74,11.25,11.65,4.0,5.5,9.56,9.45,1983.6666666666667
67.0510204563,5.0,51.7269317378,51.62,70.1,71.5,83.7,47.5585,8.26,7.74,11.02,11.54,4.0,5.0,9.06,9.48,1983.75
67.3075155543,5.0,51.9703998751,51.77,70.9,72.3,83.3,47.7271,8.31,7.56,10.68,11.69,4.0,5.0,9.06,9.34,1983.8333333333333
67.4312900641,5.0,52.0988312476,51.92,72.2,73.3,83.8,47.8519,8.41,7.36,10.77,11.83,4.0,5.0,9.06,9.47,1983.9166666666667
67.4642662546,5.0,52.516774525,52.28,71.6,73.7,85.3,48.7369,8.38,7.43,10.77,11.67,4.0,5.0,9.06,9.56,1984.0
67.6249805403,5.0,52.5850126202,52.54,72.3,75.4,84.6,49.2846,8.21,7.42,10.87,11.84,4.0,5.0,9.06,9.59,1984.0833333333333
67.7298614927,5.0,52.6499650011,52.69,70.9,74.9,85.0,49.5054,8.12,7.16,10.66,12.32,4.0,5.0,8.71,9.91,1984.1666666666667
67.7008138736,5.0,52.8279650011,52.9,70.5,74.7,85.1,49.7553,8.08,7.17,10.85,12.63,4.0,5.0,8.56,10.29,1984.25
67.8977186355,5.0,52.9350483345,53.0,71.1,76.2,84.7,49.8901,8.24,7.62,11.38,13.41,4.0,5.0,8.92,10.32,1984.3333333333333
68.0717662546,5.0,53.1512626202,53.1,63.7,76.5,84.6,50.1203,8.24,7.47,11.59,13.56,4.03,5.0,9.05,11.06,1984.4166666666667
68.0770043498,5.0,53.4410840488,53.3,72.4,76.4,84.8,50.3588,8.24,7.77,12.07,13.36,4.5,5.0,11.16,11.23,1984.5
68.0405757784,5.0,53.821822144,53.46,71.7,77.7,85.7,50.4471,8.11,7.35,11.41,12.72,4.5,5.0,11.01,11.64,1984.5833333333333
68.3029812406,5.0,53.9034636006,53.61,73.1,76.7,86.0,50.3474,7.9,7.19,11.23,12.52,4.5,5.0,10.5,11.3,1984.6666666666667
68.5510204563,5.0,54.3069317378,53.82,73.2,79.0,85.3,50.5405,7.57,6.8,11.1,12.16,4.5,5.0,10.5,9.99,1984.75
68.7075155543,5.0,54.5403998751,53.92,73.7,79.0,85.0,50.7013,7.26,6.58,10.73,11.57,4.5,5.0,9.86,9.43,1984.8333333333333
68.7312900641,5.0,54.4888312476,54.02,74.1,78.6,86.2,50.8831,7.04,6.46,10.87,11.5,4.5,5.0,9.5,8.38,1984.9166666666667
68.9642662546,5.0,55.126774525,54.12,73.5,79.1,87.0,50.6997,7.12,6.45,11.36,11.38,4.5,5.0,11.38,8.35,1985.0
69.1249805403,5.0,55.4050126202,54.43,73.9,79.2,87.8,50.5452,7.59,7.03,11.49,11.51,4.5,5.0,13.88,8.5,1985.0833333333333
69.4298614927,5.0,55.8399650011,54.69,74.5,78.5,89.3,50.9267,7.63,6.81,11.33,11.86,4.5,5.0,13.64,8.58,1985.1666666666667
69.4008138736,5.0,56.5179650011,54.79,73.9,79.8,87.3,50.7511,7.31,6.8,11.07,11.43,4.5,5.0,12.68,8.27,1985.25
69.3977186355,5.0,56.6650483345,54.89,74.9,80.6,87.7,50.8175,7.2,6.58,11.23,10.85,4.5,5.0,12.38,7.97,1985.3333333333333
69.3717662546,5.0,56.8712626202,55.05,75.7,79.2,90.3,50.9066,7.05,6.49,11.03,10.16,4.5,5.0,12.38,7.53,1985.4166666666667
69.4770043498,5.0,57.1010840488,55.15,76.6,80.3,86.6,50.6013,6.86,6.42,10.77,10.31,4.5,5.0,11.96,7.88,1985.5
69.4405757784,5.0,57.161822144,55.25,74.6,79.5,88.0,50.8968,6.59,6.15,10.69,10.33,4.25,5.0,11.38,7.9,1985.5833333333333
69.7029812406,5.0,57.0734636006,55.35,75.5,78.8,88.1,50.9516,6.4,5.67,10.68,10.37,4.0,5.0,11.38,7.92,1985.6666666666667
69.6510204563,5.0,57.2669317378,55.56,76.3,79.7,86.1,50.8051,6.59,6.34,10.52,10.24,4.0,5.0,11.38,7.99,1985.75
69.8075155543,5.0,57.5103998751,55.81,77.6,79.6,86.8,51.1319,6.58,6.14,10.69,9.78,4.0,5.0,11.38,8.05,1985.8333333333333
69.8312900641,5.0,57.5588312476,56.07,74.9,79.4,86.3,51.3515,6.45,5.55,10.78,9.26,4.0,5.0,11.38,8.27,1985.9166666666667
69.8642662546,4.5,58.126774525,56.27,76.3,79.4,88.2,51.9157,6.31,5.79,11.13,9.19,4.0,4.5,11.97,8.14,1986.0
69.7249805403,4.5,58.2250126202,56.17,76.5,79.4,87.7,51.6056,6.23,5.37,10.73,8.7,4.0,4.5,12.38,7.86,1986.0833333333333
69.5298614927,4.0,58.1799650011,55.87,76.8,79.3,88.0,51.4745,5.75,4.55,9.69,7.78,3.61,4.0,12.01,7.48,1986.1666666666667
69.4008138736,3.5,58.2579650011,55.66,77.2,79.3,88.0,51.6706,5.36,4.59,8.94,7.3,3.5,3.5,10.85,6.99,1986.25
69.3977186355,3.5,58.2250483345,55.81,77.0,79.2,87.1,51.7645,5.75,4.99,9.15,7.71,3.5,3.5,10.25,6.85,1986.3333333333333
69.3717662546,3.5,58.3112626202,56.02,77.1,79.5,88.0,51.5746,5.87,4.78,9.45,7.8,3.5,3.5,9.88,6.92,1986.4166666666667
69.2770043498,3.5,58.4810840488,56.07,78.3,79.7,87.6,51.8735,5.77,4.67,9.61,7.3,3.5,3.5,9.88,6.56,1986.5
69.2405757784,3.5,58.541822144,56.12,76.8,77.7,87.6,51.9823,5.6,4.51,9.66,7.17,3.5,3.5,9.88,6.17,1986.5833333333333
69.4029812406,3.5,58.8134636006,56.33,76.3,80.3,89.3,52.0919,5.82,4.72,10.28,7.45,3.5,3.5,9.88,5.89,1986.6666666666667
69.0510204563,3.0,59.0069317378,56.43,76.7,79.2,91.2,52.2965,6.14,5.09,10.92,7.43,3.5,3.0,10.44,5.85,1986.75
69.1075155543,3.0,59.5503998751,56.53,77.6,78.1,91.0,52.5516,6.17,5.36,11.08,7.25,3.5,3.0,10.88,6.04,1986.8333333333333
69.1312900641,3.0,59.7188312476,56.74,76.5,80.1,91.3,53.0093,5.95,5.26,10.98,7.11,3.5,3.0,10.88,6.91,1986.9166666666667
69.3642662546,3.0,60.406774525,57.04,74.5,79.6,89.4,52.8426,5.95,4.88,10.27,7.08,3.36,3.0,10.88,6.43,1987.0
69.3249805403,2.5,60.5050126202,57.25,76.6,79.4,91.9,53.6178,5.94,4.67,9.97,7.25,3.0,2.5,10.88,6.1,1987.0833333333333
69.4298614927,2.5,60.5199650011,57.45,75.9,80.6,91.3,53.663,5.88,4.13,9.11,7.25,3.0,2.5,10.26,6.13,1987.1666666666667
69.4008138736,2.5,60.7179650011,57.71,77.5,79.8,91.7,53.9692,5.62,3.0,9.14,8.02,3.0,2.5,9.8,6.37,1987.25
69.3977186355,2.5,60.6850483345,57.86,78.2,78.4,91.2,54.3639,5.54,3.19,8.8,8.61,3.0,2.5,8.98,6.85,1987.3333333333333
69.4717662546,2.5,60.7712626202,58.12,76.7,81.4,92.5,54.583,5.83,3.86,8.93,8.4,3.0,2.5,8.88,6.73,1987.4166666666667
69.5770043498,2.5,61.0610840488,58.27,76.2,82.1,93.7,54.9617,6.18,4.89,9.29,8.45,3.0,2.5,8.88,6.58,1987.5
69.7405757784,2.5,61.121822144,58.53,77.7,82.3,93.9,55.2414,6.42,4.42,10.13,8.76,3.0,2.5,9.73,6.73,1987.5833333333333
69.7029812406,2.5,61.2734636006,58.73,77.0,83.7,94.0,55.5707,6.68,5.72,10.21,9.42,3.0,2.5,9.88,7.22,1987.6666666666667
69.7510204563,2.5,61.6469317378,58.89,78.1,85.1,95.3,56.4706,6.89,4.55,10.14,9.52,3.0,2.5,9.74,7.29,1987.75
69.8075155543,2.5,62.0103998751,59.09,78.6,85.4,95.4,56.8148,6.33,4.73,9.23,8.86,3.0,2.5,8.92,6.69,1987.8333333333333
69.8312900641,2.5,61.9388312476,59.19,78.7,86.4,95.9,57.143,6.43,4.51,9.63,8.99,2.57,2.5,8.42,6.77,1987.9166666666667
69.9642662546,2.5,62.386774525,59.4,78.3,86.9,97.6,57.0485,6.48,4.15,9.71,8.67,2.5,2.5,8.38,6.83,1988.0
70.0249805403,2.5,62.4450126202,59.5,78.9,89.5,96.9,57.1634,6.27,4.31,9.52,8.21,2.5,2.5,8.88,6.58,1988.0833333333333
70.1298614927,2.5,62.5399650011,59.65,78.3,87.7,98.4,57.3369,6.21,4.43,9.22,8.37,2.5,2.5,8.64,6.58,1988.1666666666667
70.1008138736,2.5,62.8179650011,60.01,79.0,89.9,97.5,57.8107,6.28,4.5,9.2,8.72,2.5,2.5,7.95,6.87,1988.25
70.2977186355,2.5,63.0250483345,60.17,79.2,89.1,98.6,57.7501,6.59,4.66,9.41,9.09,2.5,2.5,7.63,7.09,1988.3333333333333
70.3717662546,2.5,63.3112626202,60.42,80.6,89.3,98.7,57.8292,6.61,4.86,9.51,8.92,2.5,2.5,8.28,7.51,1988.4166666666667
70.3770043498,2.5,63.6610840488,60.68,78.3,89.6,100.1,57.8625,6.73,4.91,9.84,9.06,3.0,2.5,9.85,7.75,1988.5
70.5405757784,2.5,63.741822144,60.93,81.9,90.2,101.5,57.8975,6.79,5.36,9.91,9.26,3.09,2.5,10.94,8.01,1988.5833333333333
70.7029812406,2.5,64.0134636006,61.19,80.8,91.7,101.9,58.0534,6.63,5.02,10.1,8.98,3.5,2.5,11.88,8.19,1988.6666666666667
70.7510204563,2.5,64.3869317378,61.4,81.3,90.4,101.6,58.3773,6.42,4.64,9.69,8.8,3.5,2.5,11.88,8.3,1988.75
71.0075155543,2.5,64.7503998751,61.6,81.6,92.1,102.7,58.5274,6.35,4.55,9.86,8.96,3.5,2.5,12.06,8.35,1988.8333333333333
71.2312900641,2.5,64.8388312476,61.8,83.7,93.0,102.1,58.771,6.51,4.75,10.14,9.11,3.5,2.5,12.88,8.76,1988.9166666666667
71.5642662546,2.5,65.486774525,62.06,82.4,93.9,104.1,59.2348,6.64,4.8,9.96,9.09,3.68,2.5,12.88,9.12,1989.0
71.7249805403,2.5,65.5450126202,62.27,82.3,93.5,104.0,58.6806,6.83,4.89,9.72,9.17,4.0,2.5,12.88,9.36,1989.0833333333333
71.8298614927,2.5,65.7399650011,62.57,83.1,96.8,102.9,58.6303,6.94,5.15,9.88,9.36,4.0,2.5,12.88,9.85,1989.1666666666667
72.2008138736,2.5,66.1179650011,63.03,85.2,95.1,104.5,58.7225,6.86,5.22,10.18,9.18,4.15,2.5,12.88,9.84,1989.25
72.2977186355,3.25,66.3250483345,63.34,81.1,95.0,104.0,58.2365,6.96,5.17,10.17,8.86,4.5,3.25,13.04,9.81,1989.3333333333333
